net,length_um
_03164_,1631.26
_03048_,1606.46
_03046_,1598.68
_02986_,1562.15
_03134_,1556.36
_03149_,1547.25
_03246_,1542.74
_03125_,1530.4
_03306_,1525.53
_03081_,1524.39
_03052_,1524.38
_02974_,1510.02
_03043_,1493.32
_02979_,1474.9
_03459_,1474.39
_02962_,1474.18
_03455_,1454.4
_03284_,1444.88
_03689_,1441.24
_03078_,1426.015
_02920_,1425.88
_03016_,1425.19
_02988_,1422.09
_03280_,1394.8
_03177_,1390.255
_03017_,1387.4
_03460_,1382.84
_03291_,1377.87
_03044_,1377.26
_02901_,1374.51
_03122_,1374.23
_03090_,1371.71
_03210_,1369.36
_02900_,1365.41
_03065_,1359.12
_02975_,1356.525
_03116_,1346.28
_02860_,1332.17
_03107_,1326.445
_03615_,1323.315
_02969_,1322.18
_02973_,1320.1
_02893_,1315.33
_02985_,1313.75
_03086_,1310.965
_02905_,1304.75
_02931_,1302.63
_03058_,1300.63
_02853_,1300.07
_03629_,1297.02
_03021_,1285.43
_03077_,1285.01
_03545_,1282.05
_03076_,1277.47
_03057_,1273.705
_03061_,1272.14
_02976_,1270.14
_03697_,1251.66
_03087_,1251.47
_02855_,1250.58
_02972_,1248.51
_03001_,1247.335
_02854_,1244.585
_02960_,1239.92
_05343_,1238.2
_02956_,1229.01
_02937_,1226
_03206_,1225.62
_03047_,1225.47
_03106_,1224.77
_02981_,1221.585
_03546_,1219.73
_02841_,1215.5
_03135_,1212.2
_04010_,1211.34
_02980_,1210.99
_06379_,1208.03
_02845_,1204.36
_03283_,1202.98
_02909_,1198.16
_03131_,1189.41
_03234_,1188.41
_02926_,1184.87
_02861_,1182.61
_02939_,1181.44
_03264_,1180.88
_02941_,1179.16
_02934_,1177.01
_03644_,1174.49
_03111_,1172.27
_03219_,1163.21
_02869_,1160.71
_02992_,1156.19
_02989_,1155.42
_02917_,1151.91
_02889_,1150.565
_03377_,1149.23
_02870_,1144.58
_03583_,1144.58
_02955_,1143.38
_03118_,1142.88
_02871_,1140.55
_03180_,1138.99
_02850_,1136.21
_02899_,1134.81
_02836_,1134.67
_02925_,1131.85
_03265_,1125.66
_05346_,1125.22
_02849_,1124.47
_02947_,1115.355
_03154_,1114.48
_03658_,1112.02
_03010_,1108.985
_02831_,1103.39
_03117_,1101.87
_03108_,1097.94
_03136_,1096.365
_02827_,1095.3
_02959_,1094.66
_05355_,1094.23
_03319_,1094.1
_02847_,1092.94
_02904_,1091.63
_02898_,1090.91
_02868_,1090.36
_03317_,1083.945
_02863_,1082.72
_03063_,1082.3
_03091_,1082.23
_03119_,1079.76
_03766_,1079.36
_02944_,1079.01
_06370_,1078.55
_02995_,1075.22
_06366_,1073.48
_02873_,1073.43
_03448_,1070.625
_03198_,1070.54
_02994_,1066.75
_02902_,1063.57
_02894_,1058.97
_02882_,1058.61
_02993_,1055.92
_02826_,1054.32
_03607_,1053
_02846_,1052.54
_02848_,1046.54
_03311_,1042.52
_03425_,1042.24
_02984_,1038.32
_02911_,1037.15
_03146_,1032.37
_02857_,1029.29
_02987_,1028.69
_02865_,1024.94
_03161_,1018.725
_03233_,1018.26
_03194_,1017.07
_03092_,1014.14
_03071_,1013.66
_02825_,1009.38
_02961_,1008.37
_02952_,1000.75
_03155_,999.98
_03186_,999.735
_03024_,997.73
_02858_,994.3
_03075_,994.3
_02966_,991.32
_03380_,990.7
_03195_,988.52
_02913_,988.115
_02837_,987.49
_03124_,984.34
_02996_,979.77
_02878_,979.74
_03353_,979.59
_03095_,974.78
_02953_,974.19
_03432_,969.02
_03066_,963.22
_03215_,960.97
_03381_,959.435
_03038_,958.42
_02883_,957.84
_03216_,956.47
_02830_,955.025
_03352_,954.71
_03055_,954.42
_03042_,953.76
_03176_,948.88
_03045_,941.96
_05340_,941.25
_03192_,940.59
_03011_,935.84
_03259_,934.74
_02949_,934.47
_03182_,932.26
_03191_,930.45
_02907_,928.08
_02832_,925.22
_03097_,924.85
_03257_,915.69
_03000_,914.88
_03368_,902.435
_02910_,899.58
_02963_,898.18
_03373_,894.44
_02906_,893.6
_03204_,889.96
_03263_,886.94
_02881_,886.78
_02876_,886.15
_05352_,885.55
_06382_,884.38
_03123_,882.935
_03064_,880.87
_02864_,880.535
_03130_,876.31
_03040_,875.97
_02872_,875.955
_02997_,875.075
_03129_,874.97
_03452_,874.7
_06373_,869.63
_03002_,866.68
_02930_,866.01
_03112_,861.92
_02842_,858.97
_02880_,854.91
_02946_,852.96
_03028_,852.61
_06388_,845.56
_02914_,844.735
_05361_,844.695
_06376_,840.07
_03205_,837.895
_02859_,834.99
_03365_,833.85
_03266_,832.8
net2,828.72
_02971_,828.42
_02890_,827.17
clknet_0_p_clock,824.86
_03299_,824.78
_02983_,822.935
_02932_,818.51
net11,812.37
_03643_,809.94
_02965_,808.95
_03447_,807.39
_03201_,805.66
_02958_,801.93
_03235_,797.28
_03480_,794.7
_03384_,793.08
_03316_,791.76
_03056_,791.38
_03054_,790.25
_03163_,784.38
_02862_,783.49
_03150_,781.685
_03363_,778.77
_03053_,777.16
_02945_,774.81
_03018_,767.22
_03005_,763.06
_02923_,762.09
_06385_,761.06
_05349_,758.25
_03388_,747.84
_03577_,745.47
_02919_,743.98
_03051_,743.96
_03015_,742.04
_02924_,741.74
_03181_,740.18
_03270_,737.74
_03188_,736.67
_03041_,732.305
_03379_,727.89
_05855_,725.375
_03364_,723.74
_03214_,721.48
_02918_,719.505
_02877_,717.89
_02938_,714.68
_02957_,713.39
_03285_,698.45
_03262_,698.02
_03389_,693.56
_03211_,692.51
_06009_,687.76
_02908_,686.69
_02824_,684.3
net3,680.76
_06010_,678.79
_02912_,678.3
_06032_,676.94
_05551_,676.79
_02835_,676.48
_03039_,671.18
net20,670.42
_03300_,666.94
_03247_,666.56
_03187_,660.49
_05539_,657.72
_03160_,651.5
memory._0290_\[5\],650
_02916_,647.35
net320,645.42
_03329_,642.34
_05622_,637.34
_05358_,619.92
_03378_,618.855
_07699_,617.08
_03258_,609.72
_03100_,609.27
_07697_,607.775
_03221_,607.48
_03361_,598.94
net242,595.5
_03277_,588.98
_03085_,587.16
_02970_,586.88
_05513_,583.26
_03700_,583
_03840_,579.08
clknet_2_0_0_p_clock,578.06
clknet_2_3_0_p_clock,577.89
_05524_,573.4
_07395_,571.38
_03101_,564.4
_02954_,562.96
